Symbol,AvgCorrelation,MaxCorrelation,MinCorrelation,MostCorrelatedWith,LeastCorrelatedWith
AAVE,0.441,0.891,-0.524,LTC,TON
ADA,0.618,0.897,-0.505,ENA,TON
ALGO,0.548,0.948,-0.444,DOT,TON
APE,0.250,0.915,-0.639,EOS,INJ
ARB,0.329,0.960,-0.470,ENA,TON
AVAX,0.533,0.899,-0.412,ENA,TON
AXS,0.487,0.941,-0.393,ENA,TON
BCH,0.510,0.918,-0.242,ENA,APE
BNB,0.447,0.914,-0.235,ETH,ARB
BTC,0.438,0.893,-0.356,PENDLE,APE
DOGE,0.549,0.955,-0.187,FET,TON
DOT,0.599,0.948,-0.318,ALGO,TON
ENA,0.652,0.960,-0.769,ARB,TRX
EOS,0.423,0.944,-0.388,ENA,TON
ETC,0.572,0.938,-0.266,ENA,TON
ETH,0.568,0.914,-0.094,BNB,APE
FET,0.529,0.955,-0.369,DOGE,APE
FIL,0.512,0.936,-0.473,THETA,TON
FTM,0.502,0.896,-0.294,FET,TON
GALA,0.513,0.959,-0.305,ENA,TON
CP,0.532,0.917,-0.307,SEI,TON
INJ,0.448,0.926,-0.639,ORDI,APE
KAS,-0.069,0.469,-0.496,TRX,ENA
LDO,0.348,0.938,-0.339,ARB,KAS
LTC,0.515,0.913,-0.225,ENA,TON
MATIC,0.423,0.939,-0.632,ENA,TON
NEAR,0.486,0.954,0.020,FET,ARB
ORDI,0.425,0.926,-0.455,INJ,TON
PENDLE,0.480,0.907,-0.265,BNB,XRP
SEI,0.614,0.917,-0.571,ICP,TON
SOL,0.416,0.883,-0.228,FET,APE
SUI,0.445,0.768,-0.590,SEI,TON
THETA,0.571,0.947,-0.361,FET,TON
TON,-0.260,0.461,-0.632,BNB,MATIC
TRX,0.227,0.855,-0.769,BNB,ENA
XRP,0.455,0.843,-0.560,ADA,TON
